intent,document
일상,그런 보험 있으면 당장 가입해줘야지.
일상,아니 뭐 욕은 아니고 그냥 하는거지.
일상,내일 친굴 만나는데 뭘 먹을지 모르겠어.
일상,좋아 한 번 보여줄게.
일상,내가 달리는 운동을 좋아해서 매번 마라톤 대회에 출전하고 있어.
일상,음식점이 정말 많은 강남역이야. 고민되겠지.
일상,나도 엄청 궁금했는데 사람들이 너무 많아서 무슨 일인지 알 수 없었어.
일상,꼭 찾아 볼게. 고마워.
일상,"건강도 아주 좋아, 어. 컨디션도 좋고."
일상,한 명이 좀 다쳤나봐.
일상,그건 잘 모르겠다.
일상,오늘 최종 발표를 마쳤으니까 이제 완전히 끝난 거야. 마음이 너무 홀가분해.
일상,응! 그래야지. 고마워.
일상,"음, 뭐 날씨 좋더라?"
일상,내가 받은 선물이 궁금한거야? 보고싶어? 그래. 나중에 보여줄게.
일상,나 내일 친구 만나는데 어떤거 먹어야될지 고민이야.
일상,응. 좋았어.
일상,이번에 마라톤 대회 출전했잖아. 그런데 생각보다 좋은 기록으로 결승선을 통과했어!
일상,내일 비가 온대? 얼마나 온대? 사무실에 우산 없는데.
일상,당연히 마음에 들지! 당연히 마음에 들지.
일상,정말 힘들었지만 뛰고 나서는 너무 기분이 좋아! 보름도 느껴.
일상,난 하지 않았어.
일상,너의 말대로 노트북에 문제가 없는지 꼼꼼히 살펴볼게.
일상,당연하지. 비싼 향수를 선물로 받았다고 사람들한테 이야기했더니 다들 부러워했어.
일상,그냥. 사람들이 좀 다쳐있더라고.
일상,사람들이 너무 많으니까 무슨 일인지 알 수가 없었어.
일상,뽑는 거였는데 내가 돼버렸어.
일상,그래. 무슨 일이 일어난 것 같더라.
일상,그래. 지금은 못 가고 나중에 꼭 여행 갈게.
일상,딱 하나 뽑는데 내가 된 거야.
일상,너무 좋았지. 달리는 동안은 너무 힘들었어.
일상,그래. 참고할게. 상황봐서 보험에 들 수 있으면 들어놓지 뭐.
일상,그럼. 한 달 간 정말 열심히 했어.
일상,알았어. 향수 도착하면 바로 보내서 보여줄게.
일상,잘 모르겠고 아무튼 몰려있더라.
일상,선수처럼 잘 뛰진 않아. 그냥 내 기록이 향상되었다는 뜻이야.
일상,"응 그렇다고 할 수 있지. 음, 고마워. 축하해줘서."
일상,일은 할 만 해.
일상,모든 일이 다 끝났으니까 신나게 음악을 들으면서 춤을 추고 싶어.
일상,기분이 날아갈 것 같았지! 보람을 느껴. 너무 좋아.
일상,나 축하해줘. 아주 기분 좋은 일이 있었어.
일상,여행 갔다 와야겠다.
일상,그럼. 주말에도 쉬지도 못하고 얼마나 고생한 건데. 어제부로 당당히 끝냈어.
일상,그 건 아니야.
일상,그건 아니지. 그건 아니지. 
일상,나 축하해줘! 기분 좋은 일 생겼어.
일상,그렇진 않은 거 같애. 사람들이 다들 그냥 구경만 하고 있고. 별 일은 아닌 거 같애.
일상,에이. 그 정도는 아니야.
일상,다행히 큰 일은 아닌 거 같아. 걱정하지 마.
일상,맞아. 그냥 싸움인데.
일상,노트북을 좋은 것을 구입했으니까 오래 쓸 수 있도록 보험을 가입하는 것도 생각해봐야겠어.
일상,애피타이저부터 푸짐하게 주는 집이 있어? 정말 좋을 것 같아.
일상,당연히 마음에 들지. 내가 평소에 얼마나 갖고싶었던건데.
일상,그렇게 심각한 분위기는 아니었어.
일상,응. 너무 맘에 들어.
일상,나 음악 진짜 좋아해. 신날 것 같아.
일상,마라톤 했는데 기록 경신했어.
일상,네. 친구들도 빨리 보고 싶어요.
일상,야 뭐 말을 그렇게하냐. 그냥 궁금해할 수도 있지.
일상,어떤 취객이 행패부리고 있더라.
일상,응. 일단 여행부터 갈 거야.
일상,우산은 없고 아무튼 그냥 그러고 있어.
일상,약속 잡는 거 진짜 좋을 것 같아.
일상,구경은 한 10분 했어.
일상,오랜만에 여행을 다녀오는 것도 의미가 있을 것 같아. 생각 한 번 해볼게.
일상,평점과 리뷰가 좋다고 하니까 엄청 맛있을 거 같아. 너가 추천한 곳으로 가서 친구랑 맛있게 먹을게.
일상,애피타이저 푸짐하게 주는 집도 있어? 알려줘.
일상,누가 싸우는지 시끌시끌하고 사람들도 많아.
일상,알겠어. 내가 잘못했다고.
일상,그러니깐. 구경 갔다가 가라고 해서 구경도 못하고 왔어.
일상,난 양식이 좀 더 좋아.
일상,끝났어. 너무너무 신나.
일상,그럼 다음 주 쯤에 제주도 여행이나 한번가 볼까?	
일상,나는 쉴래. 여행은 좀 있다가 생각해보고.
일상,환절기라서 비염이 좀 심해졌어.
일상,그래. 음악도 듣고 좀 쉬어야겠어. 그리고 맛있는 것도 해 먹으면서.
일상,아니. 이번에는 혼자 뛰었어.
일상,그래서 내가 궁금해서 쫓아 가봤잖아!
일상,거 같아. 진짜 고마워.
일상,아직 말 안했지. 선물 오면 같이 할 거야.
일상,맛집이 많기로 소문난 강남역이야.
일상,너무나 궁금한데 앞에 사람들이 많으니까 앞을 볼 수가 없어서 알 수가 없어.
일상,친구들도 연락해봐야지. 근데 걔네 바빠서 만날 수 있을지 모르겠다.
일상,가봐야 알겠지만 일단 꽁짜 여행이니까 선물은 마음에 들지.
일상,어제 구매한 노트북이 오늘 도착했어.
일상,내가 마라톤 최고기록을 경신했지 뭐야.
일상,나 축하해줘! 기분 좋은 일이 생겼어.
일상,"그래, 좋아. 음악 하나 추천해줘."
일상,너무 좋지. 우리는 양이 많아야돼. 그래야 먹은 거 같거든.
일상,당연히 끝났지. 한 달 간 얼마나 고생했는데.
일상,싫어서 그렇게 표현한 것은 아니야.
일상,내가 이번에 마라톤 신기록을 세웠어. 내 개인기록.
일상,그럼! 한달 동안 얼마나 고생했는데.
일상,음악을 추천해줄래?
일상,그 것도 너무 좋은데? 친구들이랑 여행이나 갈까?
일상,크루는 없었고.
일상,그러니까. 일이 빨리 해결되었으면 좋겠어.
일상,한 명 뽑는 거라니까? 근데 그게 내가 됐어.
일상,이제 놀아야지 뭘. 당연한걸.
일상,술병을 들고있긴 했는데 금방 잡혔어.
일상,"오, 그렇구나. 보험 가입 해놔야겠다."
일상,아니 일반인들 가운데 좋게 나왔다고.
일상,내가 잘못 생각했어. 다시 한번 생각해볼게.
일상,당연히 선물은 맘에 들지! 아주 비싼 향수야.
일상,가자마자 바로 쫓아내더라고. 더럽고 치사해서 안 보고 나왔어.
일상,아니. 거기 막 조폭으로 보이는 사람들이 막 여럿이 모여가지고 막 싸우고 있더라고?
일상,아니. 이번에는 나 혼자서 참가했어.
일상,그러게. 무슨 사고가 났었나봐.
일상,딱 한 명.
일상,친구들하곤 벌써 만나기로 약속했지.
일상,사람들이 싸움이 일어났어.
일상,한 명 주는데 내가 걸렸어.
일상,"응, 너도 행복하렴."
일상,딱 한 명 뽑는 거였다?
일상,할게 너무 많아. 영화도 보고 프로젝트도 끝내야 돼.
일상,추천해줄 음악 있어?
일상,완전 최고지! 아이패드 나 너무 갖고 싶었어.
일상,당연히 마음에 들지. 아주 비싼 향수야.
일상,어 이제 프로젝트도 끝났겠다. 밀렸던 영화나 볼까 생각중이야.
일상,내일 친구랑 만나는데 뭘 먹어야 될지 고민이야.
일상,친구를 만나기로 했는데 뭘 먹어야할지 모르겠어.
일상,선수는 아닌데 취미로 하는 거야.
일상,내가 달리는 운동을 너무나 좋아해서 매번 마라톤 대회에 출전하고 있어! 
일상,알았어. 제품에 문제가 없는지 여기저기 꼼꼼히 살펴볼게.
일상,그런 건 아니고 혼자서 열심히 노력하면서 연습하고 있어.
일상,사람들이 너무 많아서 앞에가 잘 보이지 않아서 무슨 일인지 정확히 몰라.
일상,그런 것 같아. 사람들이 많아서 잘 볼수는 없지만 시끄러워.
일상,나 마라톤 하잖아. 거기 기록 갱신했어.
일상,한 명인데 내가 됐어.
일상,에이 그정도는 아니야.
일상,요즘도 항상 힘들지 뭐.
일상,맞아. 별 일 아니더라.
일상,오늘 최종발표를 마쳤으니까 이제 완전히 끝난 거야!
일상,신나는 음악을 듣는 것도 좋을 거 같아.
일상,잘 안 보여서 그냥 일찍 들어왔어.
일상,벌써 친구들이랑 내일 만나기로 약속 잡았어.
일상,여행도 가고 싶다. 그렇지만 혼자 가는 건 너무 싫어.
일상,그래 친구도 만나야지. 오랬동안 못 만나서 보고싶거든.
일상,처럼 잘 달리진 않아. 일반인 중에서 잘 달린 거지.
일상,함께 달리는 크루가 있어서 내가 지치고 힘들때 큰 힘이 되어주고 있어.
일상,"그런 건 아니고, 혼자서 열심히 연습을 했거든."
일상,프로젝트 때문에 못 만났던 친구들을 만나는 것도 좋을 것 같아.
일상,그냥 싸움이 일어났었던 것 같아. 
일상,나야 항상 편하게 일하고 있어.
일상,잘 모르겠지만 별 것도 아닌 것 같앴어.
일상,나 혼자만 뽑혔어! 너무 좋아!
일상,나 일식을 좋아해. 근데 내 친구는 양식 쪽인 거 같기도 해. 둘 다 알려줄래?
일상,어 한 명 뽑는 거였어.
일상,여기는 서울이니까 뉴스에 나올지도 모르지.
일상,그정도로 많이 몰렸으면 큰 일 아닐까? 나도 정확히는 몰라.
일상,마라톤 대회에 출전했잖아. 내 기록이 엄청 좋게 나왔더라고.
일상,비가 와도 걱정 안 해도 돼. 사무실에 우산 있어.
일상,그런 것 같아. 시끄럽고 소리도 많이 나오고 조금 무서워!
일상,세 명 뽑는데 그 중에 한 명이 나야.
일상,알았어. 친구들과 약속도 좀 할게.
일상,축하해 줘 나 기분 좋은 일 있었어.
일상,드디어 연구실에서 내 프로젝트 끝났다.
일상,그러게. 별 일 아닌 거 같아 보이는데.
일상,내일 비 소식이 있구나. 나 우산 늘 가지고 다녀서 괜찮아.
일상,나는 친구들보다 나 좀 혼자 보내고 싶어.
일상,나 드디어 노트북 샀어.
일상,정해서 친구들을 봐야지.
일상,몰라? 대낮부터 싸움 났나봐.
일상,요즘 건강 괜찮아. 걱정하지 마.
일상,그것도 좋은 생각이네. 응.
일상,음악도 듣고 쇼핑도 하고 돈 벌 거리를 찾아봐야지.
일상,야근하는 중이야.
일상,알았어. 내가 다 알아서 할게. 걱정하지 마.
일상,홀가분한 마음으로 신나는 음악을 듣는 것도 좋을 것 같아! 
일상,그냥 몰려있으니까 궁금했지.
일상,"아니, 아직 안 했어. 향수 오면 할려고."
일상,30분 정도 구경을 했는데 무슨 일인지 알 수가 없어서 그냥 집에 왔어.
일상,그래. 친구들도 보고 못 했던 것도 하고 여행도 가고 다 해야지.
일상,내일 비 소식이 있는 거야 비가 많이 온대 우산 걱정은 안 해도 돼.
일상,"건강 뭐, 괜찮아."
일상,사람들이 너무 많이 있어서 무슨 일인지 알수가 없었어.
일상,고마워. 더 열심히 할 거야.
일상,받으면 사진 찍어서 보내줄게.
일상,이랑 만날 건데 뭐 먹지?
일상,30분 정도 구경 하다가 집으로 왔어.
일상,술 먹고 싸움이 난 것 같더라고. 무섭더라.
일상,아마 다음주 쯤에 올거야. 그 때 보여줄게.
일상,노래 좀 추천해 줄래?
일상,내가 달리는 운동을 너무 좋아해서 매번 마라톤 대회에 출전을 해.
일상,아니요? 기분 나아지지도 않고 나빠지지도 않아요.
일상,맞아. 완전히 끝냈어! 한 달간 정말 고생 많이 했어!
일상,최종 발표를 마쳤으니까 이제 완전히 끝난 거야.
일상,"어, 차가 망가지지는 않은 거 보니까 그렇게 큰 일은 아닌 것 같고. 나도 잘은 모르겠어."
일상,새로 산 노트북이 오늘 드디어 도착했어.
일상,막 사람들이 몰려있더라고. 그래서 한번 가봤어.
일상,"아, 미안해!"
일상,내일? 뭐. 그냥 그렇지 뭐.
일상,이왕이면 두 군데 다 알려주면 안될까?
일상,한 명이라고 했잖아.
일상,어. 영화나 좀 보려고.
일상,축하해줘 기분 좋은 일이 있어.
일상,아니. 더 안 좋아지는 것 같아.
일상,30분 정도 구경을 했는데 잘 안보여서 그냥 집에 왔어.
일상,나 축하해 줘. 기분 좋은 일이 생겼어.
일상,나 축하해 줘 나 기분 좋은 일 있어.	
일상,좋지. 신나는 음악 추천해줄래?
일상,아니 그냥 혼자 뛰어.
일상,응. 뭐 사소한 일인진 모르겠는데 어 그래도 사람들이 몰려있으니까 나도 이제 궁금해가지고 가게 되더라고.
일상,응. 이제 진짜 완전 끝이야. 이제 해방이야.
일상,아니 이제 자랑할라고.
일상,비싼 건 못샀어. 알바비 모아서 산거야.
일상,알았어. 친구들과 만나면 여행 계획 세워 볼게.
일상,친구랑 약속은 벌써 다 해놨어.
일상,구경도 못하게 바리케이드를 쳐놨더라고.
일상,그러게. 날도 추운데.
일상,마라톤 완주했어. 대단하지?
일상,길거리에 막 조폭들이 완전 몰려 있었어.
일상,오랜만에 친구랑 일식을 먹고싶어.
일상,함께 달리는 크루가 있어서 지치고 힘들 때 큰 힘이 되어 주었어.
일상,한 스무 명 정도 되는 거였나?
일상,평소에 갖고 싶었던 거야.
일상,나 드디어 공역프로젝트 끝났다.
일상,요즘 건강은 다행히 괜찮아.
일상,뉴스까지는 나올지 모르겠고 요즘 이런 일이 허다하잖아.
일상,종종 밖에서 작업할 일도 생기니까 노트북 보험 가입을 생각해봐야겠어.
일상,맞아. 뛰는 동안 가슴이 터지는 줄 알았어.
일상,내가 잘못 생각한 것 같아.
일상,마라톤 대회에서 기존의 기록을 갱신했어!
일상,어. 한 달 동안 고생한 결과야.
일상,마라톤 대회 출전했는데 기록을 많이 갱신했어.
일상,무슨 일인지 궁금하네.
일상,구경은 한 10분 정도.
일상,내가 잘못 말했다. 미안.
일상,달리는 운동을 너무나 좋아해서 매번 열리는 마라톤 대회에 출전하고 있어.
일상,요즘에 환절기라서 비염이 좀 심해졌어.
일상,이제 완전히 끝났어!
일상,마라톤 내 기록이 더 줄었어. 
일상,여행 갔다 와볼까 생각 중인데 추천해줄만한데 있어?
일상,아마 선수일 거 같애 나는.
일상,여행도 너무 좋지. 한 번 찾아봐야겠다.
일상,몰라? 왜 몰려있는진 모르겠어.
일상,근데 그 와중에 폭행사건도 있었나봐.
일상,내가 잘못한 거 같애. 반성할게.
일상,일하는 거 보니까 힘들어 보이긴 하더라.
일상,마라톤 대회에서 좋은 기록이 나왔어.
일상,그러니까. 왜 일어났는지 모르겠는데 이런 일이 뉴스에까지는 안 나오지 않을까?
일상,편의점에서 취객이 난동을 부렸더라고.
일상,내 앞으로 사람들이 엄청 많아서 앞이 보이질 않는 거야. 그래서 30분 정도 구경하다 집에 왔어.
일상,아 그런 것도 있구나 참고할게요.
일상,나도 그랬으면 좋겠어.
일상,우산은 없는데 어쩌지?
일상,난 아무거나 다 잘먹어.
일상,너가 추천한 곳이니까 정말 맛있을 거 같아 친구랑 같이 잘 먹고 올게.
일상,맞아. 결승선을 통과하는 순가 그동안 힘들었던 게 싹 사라지는거야!
일상,나 벌써 친구들이랑 약속 했어. 내일 만나기로 했지.
일상,30분 정도 구경을 했는데 사람들이 너무 많아서 그냥 집에 왔어.
일상,딱 한명만 뽑는거였어요.
일상,벌써 다 약속 잡아 놨지. 내일 만나기로 했어.
일상,응 고마워. 좀 더 열심히 해볼게.
일상,그럼. 보험이 있으면 참고가 아니라 지금 당장 들어야지.
일상,그건 아닌 거 같애.
일상,나 내일 친구를 만나기로 했는데 뭘 먹어야 될지 모르겠어.
일상,이번에 10km 마라톤 나갔는데 내 기록 완전히 단축 시켰잖아! 너무 좋아!
일상,뛰는 동안 너무 힘들었지만 결승선을 통과하니까 그렇게 뿌듯하더라고.
일상,다들 그렇게 말하지 않아?
일상,친구들? 좋지. 그거 말고 다른거 뭐 없을까?
일상,선수처럼 잘 뛰진 않고 그냥 내 기록만 단축됐다는 거야.
일상,잘 모르겠지만 뭉태기로 있더라고.
일상,내일 비가 온대! 비가 많이 온대! 사무실에 우산은 없어.
일상,맞아. 이번에 크루들도 순위권 안에 들 뻔 했어.
일상,내가 갖고 싶은 거여서 진짜 좋아.
일상,뉴스에는 나오지 않을 거 같은데 궁금하긴 해. 왜 싸웠는지.
일상,이번 마라톤 대회에서 내 기록이 엄청 좋게 나왔어.
일상,아이패드는 딱 한 명 주는 거야.
일상,"했는데, 뭘 먹어야 될지 잘 모르겠어."
일상,너도 그 크루 가입해볼래? 크루 가입하자.
일상,내일 비가 온대? 비가 얼마나 오길래 그래? 사무실에 우산은 없지.
일상,그래. 가족들이랑 여행을 다녀오는 것도 의미가 있을 거 같아. 생각해볼게.
일상,드디어 새로 구매한 노트북이 왔어!
일상,어. 그거 좋은데?
일상,그렇게 험악한 분위기는 아니었어. 하여튼간 막고 있어서 못들어갔어.
일상,그래. 내일 같이 가자.
일상,요즘 몸이 약해진 것 같아서 걱정하고 있어. 다행히 너가 날씨를 알려줬기 때문에 감기에 안 걸리도록 우산 꼭 쓰고 다닐게!
일상,사람들이 너무 많아서 앞이 잘 보이지 않는 거야. 그래서 삼십 분 정도 구경하다 왔어.
일상,이제 완전 끝난 거야.	
일상,누군가 크게 싸우는 것 같아. 무서워.
일상,리뷰가 좋다면 완전 대박난 집인가본데?
일상,그런 것 같아. 너무 시끄럽고 사람들도 많고 무서웠어.
일상,사람들 너무 많이 몰려 있어서 잘 안 보이길래 금방 들어왔어.
일상,알았어. 바로 사용 설명서 보고 확인 해볼게.
일상,프로젝트 하느라고 머리가 너무 아팠는데 이번 기회에 여행을 가서 머리 좀 식히고 와야겠어.
일상,사람이 너무 많아서 잘 볼 수가 없었어.
일상,지금 노트북을 여기저기 살펴봤는데 전원도 잘 켜지고 작동도 잘 돼. 문제 있는 곳이 아무데도 없는 것 같아.
일상,"비싼 향수를 선물로 받았다고 주변 사람들한테 이야기했더니, 다들 부러워했어."
일상,대답 고마워.
일상,내 가서 구경했어.
일상,없지만 뭐 할 수 없지.
일상,그래야지. 신나게 음악도 듣고 쉬어야겠어.
일상,그럴 수도 있지 않아?
일상,맞아. 앞으로는 그렇게 안 할게.
일상,크루는 없지만 개인적으로 열심히 뛰고 있어.
일상,어 그것도 괜찮다. 그러면 일단 먼저 잠 먼저 자고 그 다음에 친구들이랑 약속도 잡아야될 것 같아. 아 행복해!
일상,야 축하해줘. 나 기분 좋은 일이 있었어.
일상,사고가 났었나봐.
일상,딱 한 명 뽑는 거야. 근데 내가 됐어!
일상,그래. 친구도 만나면서 여가생활 즐기는 것도 좋은 것 같아.
일상,사람들이 너무 많아서 안 보여서 무슨 일인지 정확히 모르겠어.
일상,좋을 거 같아 근데 어떤 노래를 듣지?	
일상,완전. 결승선에서 내 기록 보고 나 진짜 너무 놀랬어!
일상,친구랑 강남역에서 만나기로 했어.
일상,무슨 일인지 앞이 잘 보이지 않아서 알 수가 없었는데 주위의 사람들이 싸움이 나서 그런 거래.
일상,양아치 새끼들이 오토바이를 훔친 것 같더라고.
일상,너무 고마워. 수고했어.
일상,내 마라톤 기록을 갱신했거든.
일상,나 드디어 프로젝트가 끝났어.
일상,여행도 너무 가고 싶은데 지금은 때가 아니야. 언젠가 꼭 가야지.
일상,그것도 좋은 것 같아. 한 달동안 아무도 못 만났거든.
일상,딱 한명 뽑는 건데 그새 내가 된거야!
일상,30분 동안 구경을 했는데 사람들이 너무 많아서 무슨 일인지 끝까지 몰랐어.
일상,주일정도 휴가갈려고.
일상,난 부페 형식의 음식들도 정말 좋아해. 그 것도 좀 알려 줘.
일상,너가 추천한 곳이니까 맛있을 거 같아. 고마워.
일상,그거 너무 좋겠다.
일상,"내가 이번에 십킬로미터 마라톤 대회에 출전했는데, 예전에 내 기록보다 훨씬 잘 나왔어."
일상,비싼 건 못 샀어. 알바비를 모아서 샀거든.
일상,기분도 좋은데 신나는 음악을 듣는 것도 좋을 것 같아.
일상,노트북에 가입할 수 있는 보험도 있어? 정말 필요할 거 같아.
일상,여행은 어디로 가는 게 좋을까?
일상,그것도 나쁘지 않을 거 같아.	
일상,제주도 갈까?
일상,나 드디어 구매한 노트북이 오늘 왔어!
일상,난 괜찮아. 비염만 좀 심해졌을 뿐이야.
일상,신나는 음악 듣는 거 정말 좋아요!
일상,비 맞을 일도 없고 건강도 괜찮아.
일상,그래. 얼마나 예쁘고 좋은 향수인지 보여줄게.
일상,그래. 친구도 만나고 수다도 떨고 맛있는 것도 먹고 그래야겠어.
일상,한명일걸? 대박이지?
일상,알겠어. 그럼 그렇게 할게.
일상,30분 정도 구경을 했는데 앞에가 잘 보이지 않아서 그냥 집에 왔어.
일상,그렇게 얘기 안 하겠다고.
일상,당연히 선물은 맘에 들지. 엄청 비싼 향수거든.
일상,그래. 참고할게. 보험에 들어도 나쁘지 않을 것 같아. 잊어버리거나 하면 그럴때 필요할 수 있으니까.
일상,오늘 엄청 덥던데 내일 비가 오려고 그랬나보네. 우산을 집에서 가지고 가야겠어.
일상,궁금해서 쫓아가 봤지.
일상,내일 친구를 만나. 밥 먹기로 했는데 뭘 먹어야 될지 고민이야.
일상,프로젝트를 진행하느라고 머리가 아팠는데 이번 기회에 여행을 가서 머리 좀 식히고 와야겠어.
일상,너무 마음에 들지. 내가 얼마나 사고 싶었었는데.
일상,알았어. 그런 보험은 금방 들어야지.
일상,아니 알았다고. 지적 좀 하지 마.
일상,응. 나아지는 것 같아.
일상,근데 아이패드 준대!
일상,어. 내가 정말로 갖고 싶어했던 향수였어.
일상,나 축하해줘. 너무너무 기분 좋은 일이 있어.
일상,싸우는 것 같아. 그것도 아주 크게!
일상,아무도 안 듣는데 뭐 어때.
일상,강남역 근처에서 만나.
일상,싫다고 욕한건 아니고 그냥 그렇게 불렀었어.
일상,같이 뛰는 크루가 있기는 한데 이번 대회는 그냥 혼자 나갔어.
일상,응. 중간에 엄청 힘들었는데 마지막에 결승선 들어오니까 진짜 기분 좋더라.
일상,그런 것 같애. 모르겠어.
일상,함께 달리는 크루가 있어서 지치고 힘들때 힘이 되어 줘.
일상,응. 그 동안의 노력을 보상 받는 거 같아서 너무 행복했어.
일상,나 이번에 10km 마라토너로 뛰었거든. 그런데 내 기록보다 훨씬 좋은 기록이 나온 거야.
일상,내가 선수처럼 기록이 좋은 건 아니고.내 기록만 조금 좋아진거야.
일상,노트북을 가지고 동영상을 보면서 어학 공부를 할거야.
일상,결승선을 통과하는 순간 힘든게 싹 사라지더라고.
일상,이유는 잘 모르겠는데 엄청 심각해보이더라고!
일상,구매한 노트북이 도착했어. 나 얼른 뜯어 봐야지.
일상,알았어. 못 만난 친구들 좀 만나볼게.
일상,"뉴스에 나올 수도 있고, 안 나올 수도 있고. 근데 정확한 이유는 모르겠어, 그냥 구경한 거라서."
일상,시위를 한 것같긴 한데 도저히 나는 무슨 일인지 잘 모르겠더라.
일상,저 앞에 두부가게 앞이니까 구경 갔다 와. 얼마 안 걸려. 한 5분이면 될걸?
일상,아직 선수까진 아니지.
일상,혼자야. 너무 기뻐!
일상,나도 그게 궁금해서 갔다왔어.
일상,선수는 아니고 그냥 조금 열심히 하는 것뿐이야. 그 동안에 연습을 많이 했거든.
일상,다 때려치고 싶어. 힘들어.
일상,너무 마음에 들어. 그 동안 내가 얼마나 갖고 싶었던 건데.
일상,사람들끼리 실랑이가 벌어진 것 같더라.
일상,그러게. 뭐 별일 아닌 것 같아보이긴 했는데.
일상,그래 에피타이저도 주면 정말 좋지.
일상,알았어. 지금에라도 사용설명서 보고 살펴볼게.
일상,구경도 못하고 쫓겨났어. 가라고 하잖아.
일상,내일 비 소식이 있는 거야? 사무실에 우산 없는데.
일상,아니. 큰 일은 아니고 집으로 돌아가셨어.
일상,그런 건 아니고 그냥 혼자서 열심히 연습했어.
일상,함께 달리는 크루가 있어서 지치고 힘들때 나한테 큰 도움이 됐어!
일상,케이트를 쳐놓고 근처에도 못 오게 하더라고?
일상,선수로 나가볼까? 어떻게 생각해?
일상,네. 한 달 동안 너무 고생많았어요. 이제 집에서 쉬려구요.
일상,다 똑같지 뭐. 나도 힘들어.
일상,나도 그게 궁금해서 구경갔었거든.
일상,응. 오늘 날은 좋았는데 좀 추웠어.
일상,함께 달리는 크루가 있어서 내가 지치고 힘들 때 큰 힘이 되어줬어. 그래서 이번 기록도 세울 수 있었던 거 같아.
일상,맞아. 그 동안 고생 너무 많았는데 너무 기쁘다.
일상,"오, 좋아좋아. 추천해 줘."
일상,그런 걱정은 안 해도 돼! 비 맞을 일도 없고 건강은 아직은 괜찮아.
일상,내 앞에 구경하는 사람들이 너무 많아서 무슨 일인지 잘 볼 수가 없었어.
일상,많이 힘들거다.
일상,네. 그럴려고요. 친구들이랑 이제 쇼핑도 하고 술도 한 잔 할려고요.
일상,몰라. 무슨 택시기사랑 승객이랑 싸운 거 같던데?
일상,진짜 너무 힘들었는데 딱 들어가는 순간 진짜 너무 행복한거 있지!	
일상,너가 아직 많이 멍청하구나. 어. 넌 아직 인공지능이라고 할 수 없어.
일상,오늘 최종 발표가 나서 완전히 끝났어. 너무 기뻐.
일상,알았어. 당장 친구랑 약속도 잡을게.
일상,30분 정도 구경을 하고 있었는데 무슨 일인지 알 수가 없어서 집에 왔어.
일상,응! 진짜 고생했는데 너무 좋아!
일상,그럼. 한달간 얼마나 고생했는데.
일상,노트북이 도착하자마자 문제가 있는지 여기저기 살펴봤는데 다 괜찮았어. 엄청 좋아.
일상,이번에 마라톤 대회에서 내 기록이 엄청 좋아졌더라고.
일상,알았어. 사용설명서보고 챙겨서 볼게.
일상,아니요 그 정도는 아닌데요.
일상,그건 아니고 혼자서 열심히 연습하고 있어.
일상,기록 갱신 하니까 기분이 좋아.
일상,드디어 구매한 노트북이 도착했어 뜯어 봐야지.
일상,"우와. 우와, 정말 그런 보험도 다 있어? 꿀 같은 팁 정말 고마워!"
일상,추천해주면 우리는 고맙지. 일일이 돌아다니지 않아도 되고.
일상,어. 나 완전 끝났어! 좋아. 너무 기분이.
일상,네. 다음에 꼭 보여드릴게요.
일상,프로젝트 아직 안 끝났다고.
일상,"아니, 나는 보통 혼자 뛰어."
일상,"우산이 있는데 비 맞을 일은 없어. 건강도 괜찮아, 아직은."
일상,향수 너도 조금 나눠줄게.
일상,친구들과 약속 했어. 만나기로.
일상,나도 너무나 궁금한데 무슨 일인지 정확하게 알 수가 없었어.
일상,달리는 동안에는 너무 지치고 힘들었는데 결승선을 통과한 순간 기분이 엄청 좋았어! 
일상,ㅇ
일상,딱히 싫은 건 아니야.
일상,좋은 편이다.
일상,나도 몰라. 뭐 됐대.
일상,응. 한 명 뽑는 거였어. 별로 기대 안했는데 너무 기분 좋다.
일상,그럼. 한 달 간 얼마나 고생했는데.
일상,앞에 너무나 많은 사람들이 있어서 잘 보이지 않아서 삼십 분만 구경하다 왔어.
일상,보석상에 도둑이 들었나 봐.
일상,그렇지. 한 달 간 정말 고생 많이 했거든.
일상,나는 그냥 음악 들으면서 혼자 뛰어.
일상,비싼 건 못샀어. 알바비를 모았거든.
일상,"어, 그럼. 완전 끝났어. 정말 좋다."
일상,날이 조금 좋았어요.
일상,어디 한번 틀어 봐.
일상,내일 집에서 나올 때 우산을 가지고 나오면 비 안 맞을 거 같아. 요새 건강은 괜찮아.
일상,같이 뛰는 크루 없고 혼자 해요.
일상,건강은 비염 빼고는 괜찮아.
일상,응. 한 달 만에 완전히 끝냈어.
일상,아직 안했어. 선물오면 같이 하려고.
일상,마라톤에서 기록을 갱신했어!
일상,내가 10km 마라톤 대회에 나갔는데 이전의 내 기록보다 훨씬 좋게 나왔어!
일상,어 알겠어. 다음에 만날 때 뿌리고 나갈게.
일상,난 양식이랑 일식 둘 다 좋은 것 같아.
일상,"아, 그거나 그거나."
일상,그렇긴 해.
일상,어 그냥 말다툼하는 정도?
일상,그럼. 최종 발표가 끝났으니까 이제 완전히 끝난 거야.
일상,짜증나지 뭐. 다 똑같은 것 같아.
일상,함께 달리는 크루가 있어서 내가 지치고 힘들 때 많이 도와줘. 그래서 기록을 갱신할 수 있었어.
일상,한 10분 쯤?
일상,별 일 아닌 거 같은데 몰려있더라고.
일상,좋지 않았어.
